,Quotes,Characters
10116,Well lets divide up the china I guess Ill take the NFC helmets and you can have the AFC helmets,Leela
10117,Fine Break my heart again,Fry
10119,How did I do it How did I get Leela to love me Ive got to figure it out,Fry
10122,I dont know what Im doing,Fry
10125,Oh its hopeless I did something so great that it won Leelas heart and Ill never ever know what it was My life is empty,Fry
10157,Careful with that doomsday device Bender,Leela
10160,Leela about the wedding I dont know what I did to make you love me and I dont think I tricked you into it but maybe I did And if I did Im sorry,Fry
10161,Its OK Fry You know well always be friends right,Leela
10162,Yeah But I dont guess anything I could do will ever make you feel the same way about me that I do about you,Fry
10165,OK Let me just take the ship out to a safe distance  Actually I think Ill go down and prep the detonator Fry why dont you take the helm,Leela
10166,Shes so great I feel like I can almost remember the magical thing I did to make her love me But I guess I never will,Fry
10168,Oh  Thats how I must have done it I moved the stars themselves to write her a love note in the sky,Fry
10169,Detonation in three two one,Leela
10170,Did you see it Did you see it,Fry
10182,I just saw something incredibly cool,Fry
10186,Well I dont care if it was some dork in a costume For one brief moment I felt the heartbeat of creation and it was one with my own,Fry
10189,How can you people be so blasé Here you are in the year 3000 or so yet you just sit around like its the boring time I came from,Fry
10191,Yeah But now its the distant future Why arent we out doing everything I ever dreamed of,Fry
10192,Hey you know what might be a hoot,Leela
10194,Lets take the rest of the morning off and take Fry to do everything he ever wanted to do,Leela
10198,Yeah what did they ever do for me,Fry
10199,Wow The most humdrum activities look almost exciting through your eyes What should we do next,Leela
10200,I wanna see the edge of the universe,Fry
10204,Far out So theres an infinite number of parallel universes,Fry
10206,Oh well Im sure thats enough,Fry
10211,That was fun Lets give him a treat,Fry
10214,These new hands are great Im gonna break em in tonight,Fry
10216,Ive only got two fantasies left,Fry
10219,Wait hold on It is actually possible to meet any celebrity you want,Leela
10221,Of course You should read a blimp sometime,Leela
10222,Download a celebrity from the Internet What part of that do I understand,Fry
10223,Its simple You can download a celebritys personality and appearance into a blank robot,Leela
10224,Hey I have an idea Lets do that,Fry
10234,So wheres the celebrity dating place,Fry
10235,Lets search the web  Over there,Leela
10237,Nah I read in Newsweek that she drinks human blood,Fry
10239,Id prefer someone from the era of shaved underarms Do you have anything with more of a LucyLiufeel to it,Fry
10242,Ive found her What do I do now,Fry
10247,Well you downloaded Lucy Liu Are you just going to stare vacantly at her and not say anything,Leela
10249,Did you hear that She likes me,Fry
10251,But this is Lucy Liu Perhaps the only good actress of the 21st century Shes more than just a piece of software,Fry
10255,So uh what do you feel like doing,Fry
10258,Then when I feel so stuffed I cant eat anymore I just use the restroom and then I can eat more,Fry
10260,Oh Lucy Youre just like I always thought youd be from your movies,Fry
10271,Bender this is Frys decision  and he made it wrong So its time for us to interfere in his life,Leela
10272,She doesnt really love you She cant Shes just a machine that,Leela
10274,Well so what if I love a robot Its not hurting anybody,Fry
10291,Did that make any impression on you Fry Fry,Leela
10295,But Frys our friend Bender,Leela
10299,Although he is completely right,Leela
10318,We cant take that chance Move people move,Leela
10328,Hey look Its another Lucy Liubot,Leela
10333,Alright Liu Time to kick your frosty welltoned ass Yah,Leela
10344,This is the best movie Ive ever seen It has a vampire and an explosion,Fry
10351,Aw you guys came to watch me make out That is so sweet  Wait a minute Is that the head of who I think its of,Fry
10353,Fry a herd of Lucy Liu are destroying the city Is yours acting normally,Leela
10354,Let me see  Yep Why do you ask,Fry
10358,And Nappster says illegal copies never hurt anybody,Leela
10360,Sorry ladies Employees only,Fry
10361,Oh no Theyre forming a human pyramid  of robots,Leela
10365,Dr Zoidberg cut open that bag,Leela
10374,Lucy Liubot if I dont survive the corn I want you to know that I love you as much as a man can love a computerised image of gorgeous celebrity Which it turns out is a lot,Fry
10376,What are you doing darling Get down,Fry
10382,You saved us Are you alright,Fry
10389,But I just downloaded her because I love you,Fry
10394,Uhhuh And I guess now maybe I can get to know the real Lucy Liu,Fry
10399,Oh put down the binoculars Fry The wall of that strip club isnt going to collapse twice in one day,Leela
10400,I know and Ive grown to accept that Now Im more interested in that new pizza parlour across the street Kinda makes me pine for my days as a pizza delivery boy Heres you pizza Id say I didnt order any theyd say And then Id be off to my next adventure,Fry
10401,That story stunk Hand me the binoculars  I think the owner is from Cygnus 5,Leela
10403,Professor please Societys never gonna make any progress until we all learn to pretend to like each other Now lets go over there and make these hideous strangers feel welcome,Leela
10409,Uh  hmm  do you have any food,Fry
10411,I dont mean to offend but this tastes like vomit,Leela
10413,No actually I did mean to offend a little This is awful,Leela
10414,Hey hey Whats wrong Was it something Leela said,Fry
10416,Aw Dont cry foreign people I used to work in a pizzeria and as soon as I stop hallucinating and blasting puke Im gonna teach you to sell pizza Earth style,Fry
10419,For starters only use quality ingredients Case in point,Fry
10421,Most important of all is the big screen TV Human families need a TV when theyre eating so they dont have to talk to each other  Ah the Earthican pastime,Fry
10424,Well if youre going to be Earthicans well have to teach you How about your pizzeria plays a game against Planet Express Oh but youll need nine players,Fry
10430,Sorry about that I guess I needed a few more warmup pitches,Leela
10433,I didnt mean to hit you I have some trouble with depth perception,Leela
10441,Leela you beaned a runin Youd better let me pitch,Fry
10442,But Ive got a nohitter going  Youre right Here,Leela
10448,The Mets Those bums are worse than me,Leela
10450,You mean Id be the first woman ever to play Major League Blernsball,Leela
10452,Wow The first woman ever to play Major League Blernsball,Leela
10454,Tada The first woman ever to play Major League Blernsball How do I look,Leela
10457,All the whole numbers have been retired,Leela
10458,Wow I must say Im impressed You look just like a ball player Can I pat you on the butt,Fry
10459,Fry Im a professional athlete So go ahead,Leela
10481,Bender how did you get in here,Leela
10483,Since when are you my agent,Leela
10485,Bender thats great How much did you get me,Leela
10487,As a pitcher I serve up plenty of bean balls So I know good beans when I see them BeanBay Beans,Leela
10493,Yo soy muy malo en lanzar pero yo soy muy bueno en comer frijoles Come los Bean Bay frijoles los frijoles de los reyes,Leela
10498,Aw Sure thing sweetie Who should I make it out to,Leela
10500,Thats a popular name today Little e big B,Leela
10502,Im not doing this for the wad Im doing it for all the struggling female athletes who need a role model,Leela
10506,Oh following in my footsteps,Leela
10509,Im a fool The fans havent been cheering for me theyve been cheering at me,Leela
10511,Thats what makes it so sad I thought I was doing something heroic,Leela
10513,Youre right I cant let people down anymore As God as my witness I vow to earn the respect of girls and women everywhere I will become the best blernsball player of all time,Leela
10515,Oh Then I have a new vow I solemnly swear that I will become not the worst blernsball player of all time,Leela
10516,Hey look The players who broke the various colour barriers,Fry
10518,Ah here we are The worst player in history If I can be just a little better than him I can slink away with my head held high,Leela
10520,And here he is trying to make a catch with an oven mitt,Fry
10521,Its even a crummy hologram,Leela
10523,Hank Aaron XXIV How could you play so blowfully The original Hank Aaron was great,Fry
10526,So Hank The bad Hank Just how blowful were you,Leela
10529,Leela could beat that Shes pitched her whole career without getting an out,Fry
10532,Look I dont wanna be in this exhibit Thats why I need your help So I can be one tiny iota less pathetic than you,Leela
10538,You mean keep your eye on the ball,Leela
10540,Pst Youre holding the bat upside down,Fry
10546,I didnt hit the batter For once I was pitching and not just bellyitching,Leela
10549,Hey You opened a franchise,Fry
10561,Come on skipper Its my last chance to prove Im not the worst player ever Please put me in,Leela
10565,Ive been training with Hank Aaron,Leela
10567,Ive been training with a Hank Aaron,Leela
10574,Strike him out Leela Do it for the hundreds of women everywhere,Fry
10577,Keep cool Shes just like any other player She puts on her sports bra one arm at a time,Leela
10579,Strike one a personal best,Leela
10583,Jackie I guess you were right Im a lousy role model Im sorry,Leela
10587,Oh thats so kind of you I guess I made a difference after all,Leela
10596,Bender Did you have something to do with this,Leela
10607,Hey Now what am I supposed to watch and drink all day,Fry
10609,Well theres the material rewards,Fry
10629,We just wanted to show you that you really will be remembered,Fry
10632,Dearly beloved we are here today to remember Bender taken from us in the prime of life when he was crushed by a runaway semi driven by the Incredible Hulk,Fry
10634,Now let us each remember the best things about Bender in our own way Professor,Fry
10639,Bender shush Youre supposed to be dead,Leela
10657,Yes there is Bender Bender was a lot of things to a lot of people But looking back the number one thing I can say about him is this and simply this,Fry
10662,I thought something looked different in here,Fry
10663,Hi We have a giant stone to deliver Sign here,Fry
10665,Impressive Whos building it,Leela
10669,Call it a hunch but Ive got a bad feeling about this,Fry
10670,You know the worst thing about being a slave They make you work but they dont pay you or let you go,Fry
10671,Thats the only thing about being a slave,Leela
10673,Incredible This place is just like the Ancient Egypt of my day,Fry
10675,I knew it Insane theories one regular theories a billion,Fry
10679,Are you crazy They worked thousands of people to death to make these stupid monuments,Leela
10689,Bender quit giving the slave drivers pointers,Leela
10690,Yeah Remember who your real friends are,Fry
10714,Can you believe it Pharaohs dead,Fry
10717,Im gonna spin till I fall down,Fry
10725,You know what else stinks about being a slave The hours,Fry
10728,Hey I think I know who the next Pharaoh is,Fry
10734,This society is a bunch of idiots,Leela
10757,Bender I really hope thats you Cause if it isnt  were in trouble,Fry
10758,You jerk Whyd you have to drag us along,Leela
10760,Did you really think youd need all this junk in the afterlife,Leela
10762,Well rot in peace Fry and I are leaving,Leela
10764,What proof is this Some huge number,Fry
10765,Its explosive Maybe we could escape by setting fire to the distillery and blowing this whole place to rubble  Lets get a little kindling going,Leela
10767,Oh right how selfish of me Well just stay here forever Hey Fry Remember that robot Bender,Leela
10768,Bender Doesnt ring a bell  Did you hear something Leela,Fry
10769,No But I bet it wasnt someone who was good at stealing,Leela
10771,Hey Leela you know who I remember,Fry
10773,That guy who used to bend things You know,Fry
10777,Oh Bender When did you come in Hold still,Leela
10784,Bender I understand your desire to be remembered But you dont need a statue for that,Leela
10786,No You have your legacy as a brutal tyrannical dictator and that will outlive any monument,Leela
10795,Thats so plausible I cant believe it,Leela
10808,Bender no Youll make God cry,Fry
10812,Bender its OK to be proud but dont be a showoff,Leela
10818,Bender you drank and smoked when you were a robot,Leela
10820,Speaking of which try these nachos,Fry
10857,Ooh I have one Im good at video games and bad at everything else Thats why I wish life were more like a video game,Fry
10859,Uh what if that thing I said,Fry
10862,Wait a second I know that monkey His name is Donkey,Fry
10869,Well sir I spent all of ninth grade studying them except for that day when my eyeballs started to bleed And in my opinion,Fry
10875,Oh my God He ate Fry Fry is dead,Leela
10876,Its OK I had another guy,Fry
10878,Invaders Possibly from space,Leela
10880,Alright Its Saturday night I have no date a twolitre bottle of Shasta and my allRush mix tape Lets rock,Fry
10883,Ive still got a trick or two up my sleeve Watch as I fire upwards through our own shields,Fry
10887,Amy tend to the widow PacMan,Fry
10892,Its moving too fast Oh I could never get the last one My brother always got it for me,Fry
10897,What do you monsters want,Fry
10913,OK  As an alien who was abandoned on Earth Ive never really belonged anywhere,Leela
10919,Nibbler I dont think were in New New York anymore  Ooh Nice boots,Leela
10921,A witch That explains how these boots magically appeared on my feet,Leela
10923,Well  iits hard to find shoes that fit me So anyway who are you people Havent I seen you in some copyrighted movie,Leela
10926,Yeah Can anyone fix my ship so I can get home,Leela
10928,You mean that yellow brick road,Leela
10932,OK crow prepare to be scared  And then honk honk the car honked its own horn,Fry
10933,Wow A talking scarecrow Wanna come with us to see the Professor He might be able to give you a brain,Leela
10934,Hey Thats not a nice thing to say,Fry
10942,Man weve been skipping for hours I need to pull over and take the wiz,Fry
10944,Why did you bring us here,Leela
10947,And live here And be a witch like you Yeah alright As long as I get to hurt people and not just dance around at the equinox,Leela
10949,Oh Mommy I found my true home,Leela
10957,Were here to see the Professor,Leela
10961,Oh for the love of Benji,Leela
10967,Why does everyone keep saying that,Fry
10972,No not anymore I wanna stay here and become the new Wicked Witch,Leela
10974,Uh alright Here I go  Oh no Help Whats happening,Leela
10977,Leela are you alright You got wanged on the head,Fry
10978,I was having the most wonderful dream  Except you were there and you were there and you were there,Leela
10979,Never mind Professor She came to,Fry
10982,Ive never seen a supernova blow up but if its anything like my old Chevy Nova itll light up the night sky,Fry
10985,Lets go microwave Im in a hurry here  Hey what smells like blue,Fry
10986,Fry get up here Its starting,Leela
10990,Hey which crazy thing happening are you guys screaming about,Fry
10993,Aw Its less popped than ever,Fry
10994,I dont know what happened but weve taken on a lot of clocks  Lets get back home,Leela
10995,Why is there so little traffic around Earth,Leela
10998,Oh no Theres no global positioning signal Navigation is failing,Leela
11000,Not if I can help it  Oh I guess I cant Everyone put on your seatbelts,Leela
11014,Have you seen todays news,Leela
11016,No over here  Flying saucer captured,Leela
11018,My God This means the flying saucer that crashed in Roswell  was us,Fry
11022,No problem The ships fixed except for the cup holder and I should have that operational within 10 hours,Leela
11024,Well Im sure we can buy a microwave somewhere around here  Meanwhile you guys sneak onto the army base and rescue Benders body,Leela
11025,Hey and while were on the base Ill visit my grandfather Enos He was stationed at Roswell,Fry
11029,But existing is basically all I do,Fry
11036,Its him Its my grandfather Enos,Fry
11038,That Jeeps gonna hit him And I wont exist anymore  Are you crazy You almost got yourself run over,Fry
11041,I had no choice I was about to not exist I could feel myself fading away like Greg Kinnear,Fry
11043,Thats it This place is too dangerous We gotta get you out of here  Everythings gonna be alright Dad,Fry
11045,No time Run Run to safety,Fry
11050,Frys from around this time Ill talk like him  Yo homes Were looking for a microwave oven,Leela
11052,Oh Im sorry Now Ill aks you again,Leela
11055,Thank God I got you off that dangerous army base,Fry
11060,Yowza I know what I want for dessert,Fry
11062,Grandma Mildred Uh no dessert Just coffee,Fry
11065,She sure is pretty You ought to marry her and father some children right away,Fry
11067,What Dont ever ever say or think that again Please Just concentrate on staying alive  Oh You almost got neutered,Fry
11069,For me it is  Im getting you outta here,Fry
11071,OK were in the middle of nowhere which is the safest part of nowhere Just stay put and enjoy this calendar,Fry
11072,Safe and sound Finally I can continue to exist,Fry
11078,Its the 20th century Professor,Leela
11080,Ill just have a small injection of Femislim,Leela
11082,Well settle in Without a microwave were trapped in this time period,Leela
11084,Wait a second Theres a microwave radar dish at the army base  We could steal it,Leela
11086,Well I killed my grandfather,Fry
11088,Wait If you killed your grandfather why do you still exist,Leela
11089,I dunno Maybe God loves me,Fry
11091,Aw There there If it makes you feel any better his body was vaporised so theres no chance of him coming back as a zombie,Fry
11093,Then youre a braver woman than I,Fry
11111,Aw I know how you feel My grandfather died recently,Fry
11113,Hey you know what always cheers you up Baking me a nice tray of sugar cookies,Fry
11115,I shouldnt be here I shouldnt even exist But I do exist Which proves  you cant really be my grandm,Fry
11118,Relax She cant be my grandmother I figured it all out,Fry
11121,Its impossible I mean if shes my grandmother whos my grandfather,Fry
11133,But But wont that change history,Fry
11140,Take this Mr President Sir,Fry
11148,Turn around Weve gotta go back for Bender,Fry
11154,Oh poor Bender He must be so lonely right now trapped a thousand years in the past Hey Wait a second,Fry
11158,Hes alive  Bender what was it like lying in that hole for a thousand years,Fry
11164,You know Pirates but in space,Leela
11170,Fry to battlestations Fire torpedo number three,Leela
11171,Firing torpedo number three,Fry
11173,Thats not torpedo three Thats not torpedo three at all,Leela
11178,Its no use We were going full speed when we fired him so hes going even faster than that,Leela
11179,You mean we can never catch up to him Not even if we rub the engine with cheetah blood,Fry
11180,I dont know how to say this Fry but Bender is doomed to drift through space  forever,Leela
11181,He always wanted to drift forever but through the American Southwest,Fry
11202,Can you find him Professor,Fry
11210,Well I guess that sounds OK,Fry
11229,He decided not to let go  I cant believe youre gone I wont If I cant reach you physically Ill just have to try something desperate and crazy,Fry
11230,So thats my story Father Changstein el Gamahl Is there anything religion can do to help me find my friend,Fry
11232,Uhhuh But is there anything useful we can do,Fry
11235,Bonder Is it really you,Fry
11237,Wait a minute Benders name isnt Bonder its Bender Youre a fraud,Fry
11239,Only if you dont have any real hope,Fry
11243,You think theyd let me use it to look for Bender,Fry
11253,Sir Im outfitting an expedition to a monastery high in the Himalayas Ill need a longsleeved coat,Fry
11254,Look I miss Bender almost half as much as you do but you cant bring him back this way Its hopeless,Leela
11255,You cant give up hope just because its hopeless You gotta hope even more and cover your ears and go blah blah blah blah blah blah blah blah  Id also like a pack mule,Fry
11257,Well you obviously wont listen to reason so I guess Ill listen to idioticness and come with you But well need a sherpa to guide us,Leela
11267,Fry if I drop dead from exhaustion make sure my body freezes in a dignified position None of that huddled over for warmth crap,Leela
11270,Looks rickety Wed better test it,Leela
11284,How long have you been at it,Leela
11288,Sort of like a giant karaoke machine,Leela
11291,Hmm Finding God ThatThats important yeah But you know what might be a treat for everyone If you let me use the telescope to find my lost friend Bender,Fry
11293,Aw come on You guys have forever to look for God All Im asking is one measly lifetime to find my friend,Fry
11296,That telescope is as much mine as anybodys Im using it whether you give me permission or not,Fry
11297,Hiyah Your order may be famous for your martial arts but Ive never met a holy man I couldnt clobber,Leela
11299,Oh Then get in the laundry room or Ill kick your butts,Leela
11320,Hello Has anyone out there seen Bender,Fry
11322,Fry its been three days And even if you stay here the rest of your life there is virtually no chance of finding him Its time to give up,Leela
11323,But still I wish I had Bender back,Fry
11328,Bender Its a miracle  Ow,Fry
11329,This is by a wide margin the least likely thing that has ever happened,Leela
11331,We climbed a mountain and locked up some monks,Fry
11332,Oh no The monks We forgot to let them out of the laundry room,Leela
11333,Do we have to I mean theyre monks Im sure their God will let them out or at least give them more shoes to eat,Fry
11345,Psst Watching myself work is making me hungry Help me find some food somewhere,Fry
11347,Ooh A Bot Mitzvah Shalom hunger Shalom free food,Fry
11351,So whats the deal You guys dont believe in Robot Jesus,Fry
11357,This toads the wet sprocket What about out thousands of shares of stock,Leela
11368,Boneitis Pft Thats a funny name for a horrible disease,Fry
11371,Hey buddy Im from the same time as you Remember that song Safety Dance,Fry
11373,Yknow that dance wasnt as safe as they said it was,Fry
11377,Theyre scared of our raw power Oh but if you want a job I could beg everyone at the company where I work,Fry
11392,I vote my 10000 shares for the Professor,Leela
11395,I nominate That Guy Not just because he has a suit but because he knows about business and stuff and he has a tie  My shares still count if they went through the washing machine right,Fry
11398,40000 How come you have fourtimes as much stock as the rest of us,Leela
11415,Im rollin up the corporate ramp,Fry
11421,No thanks I make my own,Fry
11430,No were not And as vice chairman I believe I speak for the entire board when I issue this challenge to Mom  Look at my butt,Fry
11434,Woo Yeah Hit him hit him hit him  Now this is the high life watching apes mangle each other near celebrities,Fry
11438,Uh work really really hard,Fry
11442,This companys on the fast track to the It list Blast back kudos all around,Fry
11443,Uh hello We havent made one delivery since you two took over,Leela
11447,That was terrible People wont even know what we do,Leela
11449,Did you approve that awful ad Fry,Leela
11450,Yes I did Leels And Ill tell you why Because it grows the brand,Fry
11463,Make it two And a glass of all your water,Fry
11465,Dont you worry about blank Let me worry about blank,Fry
11467,What a pleasant surprise,Fry
11470,Im on it But if you need me you know where Ill be,Fry
11471,Call me a booger blaster Ill blast a booger so hard that,Fry
11472,Fry were worried about Planet Express,Leela
11473,Dont you worry about Planet Express Let me worry about blank,Fry
11476,What I havent changed  Suz Have I changed,Fry
11479,I dont care what Ms Johnson says That Guys turning this place into some kind of business,Leela
11481,Youre right Professor We might not be a traditional family like the Murphys next door or the lesbian coven across the street But we are a family and That Guy understands that,Fry
11487,Uh Ms Johnson Please bring in some more chair fuel,Fry
11488,I had no idea the company would be sold I was just an innocent suckup Youve gotta believe me,Fry
11489,Just leave us alone and let us clear out our lockers,Leela
11494,Ms Johnson youve never lied to me Am I still a good person,Fry
11496,Ive got to redeem myself Somehow sometime for some reason Ill block this takeover,Fry
11498,Believe it or not I have more important things to do today than laugh and clap my hands  Reschedule,Fry
11513,Zoidberg owned 51 of the company,Leela
11529,They are Oh my God Im a millionaire Suddenly I have an opinion about that capital gains tax,Leela
11535,As vice chairman of Planet Express Id like to say a few words There comes a time for every man who becomes rich and deserts his friends when he goes back how it was For me that time is now,Fry
11536,So I ask you as a friend wont you stop this deal,Fry
11542,I dont think so Cause as vice chairman of the company I gain voting control of his shares,Fry
11544,Ill be whatever I wanna do That Guy was the greatest businessman that ever lived And before his mysterious death he taught me everything he knew   Hubert Farnsworth,Fry
11547,Let Mom buy the company We all wanna be filthy stinking rich,Leela
11549,You mean youd rather be rich than work together,Fry
11551,In my whole life this company was the only place Id ever really felt at home If being millionaires is more important to you than our,Fry
11553,Friendship then Ill sell Planet Express for you,Fry
11557,It is Yahoo Were poor no matter what I do The deal is off,Fry
11559,Look so were not millionaires At least we all still get to work together,Fry
11567,Hey uh whats with all the pots and pans You building a wife,Fry
11569,Brunch Right Id better warn tell warntell the others,Fry
11576,Brace yourselves Bender is making us brunch,Fry
11579,Hes so proud of his awful cooking If we dont eat it hell be crushed,Fry
11580,Alright dont panic If we can get to the ship we can fly north and hide under the polar icecaps for a few weeks,Leela
11585,With you blocking the only escape route Dont be silly,Fry
11598,How interesting Dr Zoidberg Do go on,Leela
11600,Man I dont wanna hurt Benders feelings,Fry
11601,But this food actually tastes better as vomit,Fry
11602,Its unbearable How much do you think it would cost to get my tongue removed,Leela
11656,Well I dont remember any of that but I dont have the wherewithal to defend myself,Fry
11706,Yo hook me up My turkey is dry and Ive tried everything  Oh right Never mind,Fry
11734,Yes we were there And we just finished watching it again on TV,Leela
11737,Ah so the real gift Spargle gave you was confidence The confidence to be your best,Fry
11745,Yeah You got a telesonic transmission from Kif a couple hours ago,Leela
11756,Say again Youre breaking up,Leela
11761,This is a very long trip So well all have to go into hibernativenaptosis to save oxygen,Leela
11767,OK I was just at this part,Leela
11808,And not one of those bogus everyday miracles like a sunrise Arent you a male,Leela
11817,Dude hold up Remember when Zapp blew a hole in the ship,Fry
11819,Kif touched everybody there Couldnt any one of us be the mother,Fry
11833,Wow this is all so confusing,Leela
11837,Sorry I got your boyfriend pregnant,Leela
11841,You know my face was stuck in a pizza,Fry
11847,Check it out yall Everyone we invited is here,Fry
11858,It means a lot to me Its the basket my parents left me in at the orphanarium,Leela
11875,If its so dangerous Id better go with you A gal has to protect her DNA,Leela
11916,There goes my DNA What a disgusting and beautiful process,Leela
11921,Sure We talk about it all the time,Fry
11937,What does it taste like,Fry
11951,Thank you very much Like many of you I never knew my parents,Leela
11953,I dont know if they were mighty alien overlords or simply underpaid alien janitors who fought crime on the side,Leela
11956,In the end though it doesnt matter who my parents were All that matters is what I learned here within these unscalable walls that I have strength to make it on my own just like all of you kids here today,Leela
11962,Yes I mean no Just make sure you get my nonchalant side,Leela
11963,If those arent tears of happiness please stop crying,Fry
11964,Its OK Fry Im fine I won an award today,Leela
11965,Is it this room thats making you sad Its probably the room Come on lets go for a walk,Fry
11966,Im sorry you saw that Fry I usually try to keep my sadness pent up inside where it can fester quietly as a mental illness,Leela
11967,Yeah I do that with my stupidness,Fry
11968,I told a whole crowd today that being an orphan made me strong But all I really wanted was a mom and dad to hold me and stroke my hair and tell me they loved me,Leela
11969,Then todays your lucky day because I happen to be a holding stroking lovin machine Also spankin,Fry
11970,Thats not even close to what I had in mind,Leela
11971,Well anyway just remember that people care about you,Fry
11972,I know  Sometimes when Im lonely I look up at the sky and I get this feeling that somewhere on some unknown planet circling a distant star my parents are up there looking down on me,Leela
11975,Bender Cut it out First of all the sewer mutants will be mad Second everything else thats horribly wrong with what youre doing,Leela
11988,Its like that time I peeked in the kitchen at Imperial Hunan,Fry
11994,Who said that How do you know my real name,Leela
11998,I dont know I think I saved us somehow,Leela
12005,It looks like  a timeline of my whole life,Leela
12006,Thats when we saved Earth from a giant asteroid of garbage,Fry
12007,And heres when I dropped out and bummed around India for a while,Leela
12009,Its like some kind of weird Leela museum  and Im the Leela,Leela
12011,Its all the best stuff I ever flushed down the toilet Those are some of my diary pages And my screenplay,Leela
12012,And also for some reason the letter I wrote you full of my personal feelings,Fry
12013,My whole life has just been a show for some perverted mutant,Leela
12017,Leela freak out later Were not done escaping yet,Fry
12025,Wait a minute Why arent you gonna kill us anymore,Leela
12027,Shut up you two We can kill ourselves when we get home,Fry
12034,Come on Leela You can do it,Fry
12036,Whoa What are you doing,Fry
12038,The lake didnt mutate me What is going on here,Leela
12040,Eurgh  Who the hell are you,Leela
12043,Leelas going nuts and I cant save her unless I learn more about her mysterious past Isnt there anything else you can tell me,Fry
12045,Thats impossible because my time is worthless,Fry
12049,Look Im trying to save someone here Ill have to come back for those later,Fry
12052,I didnt ask for a completely reasonable excuse I asked you to get busy,Fry
12054,Isnt that the same machine that makes noses,Fry
12079,Hands up  Tentacles too,Leela
12081,What is all this  Am I a game to you Or some kind of even more boring Truman Show Do you believe Im you Messiah Your Mutant Dalai Lama Stop me if I guess it,Leela
12084,How did you get this bracelet Did you steal it from me when I was a baby Or from my parents You robbed my parents didnt you I bet you sick mutants killed them My parents were confused aliens lost on Earth and you killed them Is that it Admit it,Leela
12087,Because of you Ill never know my parents Ill kill you,Leela
12089,Stop  Thanks Bender Dont do it Leela,Fry
12094,I had the Professor analyse the Alienese letter that was found with you,Fry
12096,I unno But the analysis showed it was printed on recycled toilet paper A squeezably soft paper used mainly in the sewers,Fry
12099,So Im not an alien Im a mutant,Leela
12102,This is the happiest moment of my life,Leela
12109,Bender Ship Stop bickering or Im gonna come back there and change your opinions manually,Leela
12125,Oh you have got to be kidding  Ow I mean Aww dats show shweet,Leela
12137,Does that dummy have a brother,Leela
12141,Whoa Letters like U and R can mean words like You and Are Here Leela UR2 Cute,Fry
12142,Perhaps Whats your point,Leela
12143,Ive never been able to put into words how I feel about you But somewhere among these trillions of hearts those words must already exist And Im gonna find them,Fry
12146,Ooh look You taped up the cracks in the dark matter reactor,Leela
12147,And you got a cage for the lion,Fry
12157,Before we deliver these hearts Im gonna find the one that sums up my feelings for you  I Love You Hmm too conventional Youre My Man Ooh so close,Fry
12158,Im not impressed by a guys message Fry Im impressed by the guy Or not,Leela
12161,Maybe we hit a space cow,Fry
12166,Bender  Planet Express Ship Cover your shame,Leela
12168,Wow Bender Are you and the ship an item I mean I know youre both items but How can you date a ship anyway Itd be like me dating a really fat lady And living inside her And shed be all like,Fry
12170,Bender dating your coworker and primary mode of transportation is immoral illogical and a violation of interstellar shipping statute 437B,Leela
12172,Still given the chance Id give in to urges far more shocking,Leela
12178,The ship But you just started dating,Fry
12180,Well just remember we all still have to work together So try and let her down easy,Leela
12182,You have much to teach us,Fry
12183,Doesnt it bother you even a little to be taking advantage of your girlfriends trust,Leela
12190,Huh  Planet Express Ship Is that you,Fry
12192,Uh no Um I think hes at his parents,Fry
12194,Bender No Hes an oldfashioned onespaceship robot Look Ill tell him you stopped by K,Fry
12210,Planet Express Ship is something wrong,Leela
12214,Look Im not saying Benders not great but have you ever considered that maybe hes yknow not that great,Leela
12216,Could you maybe pay a little more attention to these asteroids,Leela
12222,Esteemed potentates of Omicron Persei 8 please accept these 20 billion candy hearts as proof that Earth loves you this much,Leela
12228,Incoming torpedoes Shields at maximum yarnell,Fry
12229,Steady Planet Express Ship Focus on diverting all power to the scramjets,Leela
12233,Well it was a spectacular battle but there doesnt seem to be any permanent damage,Leela
12235,Aw calm down Im sure Bender is taking this just as hard as you are,Leela
12237,You couldve have picked a better time to dump the ship Bender,Fry
12239,I know I know Look Ship if theres one thing I learned from my mutual breakup with Sean that was totally mutual its that happiness can only come from within you,Leela
12241,Trust me You cant change men anymore than you can change the laws of time and space,Leela
12243,Um sweetie You see that giant quasar were heading into You might wanna scooch a few parsecs to the left,Leela
12245,Whats happening Space cow,Fry
12246,The ships just taking the breakup a little hard  Shes nuts,Leela
12251,Look I dont know if you want my opinion,Leela
12253,Now look missy If you dont turn around now Im going to have to shut down your brain,Leela
12255,Ha That barely hurt Leela at all,Fry
12258,This is the one place she cant hear us Everyone just pretend to shower,Leela
12259,Same as everyday got it,Fry
12262,Comprendez Bender Youll have to distract her Merge your programming with hers while I shut down her brain,Leela
12264,Im willing to take that risk,Leela
12271,OK Bender has her distracted Now I can shut down her brain by deactivating the carbonated logic matrix  I cant concentrate with this obnoxious candy in my face,Leela
12272,Im on it And maybe Ill find those magic words while Im at it,Fry
12274,Yeah I know  Ooh How bout this one,Fry
12275,Give it up Fry Ive got to pop these tops in a precise order,Leela
12276,Halfway there The ship should be getting a bit less rational now,Leela
12278,Only a few more  Hey I won free admission to Six Flags Just one more reason we must survive this,Leela
12280,Fry Ill read your candy later when were not dead  What was that,Leela
